image_name,comment,category
1094462889.jpg,a brown dog plays in a deep pile of snow,dog
2330062180.jpg,a white dog is running through the snow,dog
489551372.jpg,a dog on an obstacle platform and a man,dog
4360937435.jpg,a female dog owner and her dog are being judged as part of a dog show,dog
2325258180.jpg,black big dog is trying to chew into soft toy,dog
3258874419.jpg,a greyhound dog wearing a yellow and black shirt runs along a dirt racetrack,dog
4259870068.jpg,a man rides a horse in a parade,horse
2451114871.jpg,dogs run at a dog racetrack,dog
400562847.jpg,a dog walks through the snow while blindfolded carrying something in his mouth,dog
3169394115.jpg,the dog stands on something while the snowfalls around him,dog
1096097967.jpg,a small white dog gets sprayed by water,dog
2838125339.jpg,a large brown dog climbs over a tall fence while three people look on,dog
512026551.jpg,a brown dog is pulling itself out of the water onto some rocks with a tennis ball in its mouth,dog
3113322995.jpg,the dog team is pulling the man on the sled,dog
5942795175.jpg,a man wearing green and the number riding a brown horse is ahead of a man wearing red riding a gray horse,horse
2502905671.jpg,a man playing with his dog on a beach,dog
390671130.jpg,a closeup of a small black and white dog with a baseball in its mouth,dog
421932359.jpg,a black and white dog is running towards the viewer,dog
3480126681.jpg,a black dog running across barren terrain,dog
1598085252.jpg,a dog is resting in a grassy field,dog
485054073.jpg,the dog is trying to catch a frisbee,dog
2079152458.jpg,a dog has a tennis ball in its mouth,dog
3544669026.jpg,a dog leaps to catch a ball,dog
3455898176.jpg,brown dog jumping over a hurdle,dog
254475194.jpg,a woman and a dog standing in the grass,dog
3571039224.jpg,a black dog on a leash with a red collar has its face in the water,dog
2896483502.jpg,the dog jumps to catch a flying disc,dog
2284894733.jpg,the dog is barking while running down an obstacle,dog
2294598473.jpg,a dog catches a frisbee in midair,dog
458213442.jpg,a dog leaps over a bar on an obstacle course,dog
2353088412.jpg,dog running with pet toy being chased by another dog,dog
464527562.jpg,the brown and black dog is holding a pink disc on a green yard,dog
5884154559.jpg,cowboy being bucked off of a horse,horse
405331006.jpg,the person in the blue shirt and blue hat is riding a white horse,horse
3122606953.jpg,a little black dog chases another little black dog through thick snow,dog
3380519003.jpg,a dog is chasing after a ball in a field,dog
747242766.jpg,a brown dog with very floppy ears runs through a field of emerald grass,dog
4976310078.jpg,this man s dog looks surprised,other
1454678644.jpg,a big black dog chases a big brown dog with a green object in his mouth while another big brown dog tags behind,dog
3155279929.jpg,a dog is shaking itself dry on the beach next to the ocean,dog
2768972186.jpg,a dog bites the tail of another dog,dog
2750832671.jpg,a black and tan dog plays with a stuffed toy,dog
3086523890.jpg,a brown dog is jumping on top of a smaller white dog and there is a colorful ball on the floor,dog
512634877.jpg,a pitbull dog chasing a red ball,dog
2368266191.jpg,a dog chases another by a tree,dog
